,ts_code,name,limit_amount,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,industry,profits,buy_price,cumsum,buy_price_rate
31,000514.SZ,渝开发,4,20150327,9.43,9.43,9.43,9.43,8.57,0.86,10.04,11766,11095.7341,区域地产,-2.34,9.83,107.53999999999999,4.24
35,601010.SH,文峰股份,4,20150407,40.49,43.04,40.02,43.04,39.13,3.91,9.99,336277,1408667.0369999998,超市连锁,1.18,43.6,108.72,1.3
36,601010.SH,文峰股份,5,20150408,43.6,47.34,41.0,47.34,43.04,4.3,9.99,453464,2050138.352,超市连锁,-56.62,46.38,52.1,-2.03
38,600035.SH,楚天高速,7,20150416,8.99,9.52,8.98,9.52,8.65,0.87,10.06,929126,877085.725,路桥,-14.04,9.87,38.06,3.68
42,000410.SZ,*ST沈机,6,20150422,27.36,27.36,25.51,27.36,24.87,2.49,10.01,680700,1857162.3336,机床制造,4.21,28.0,42.27,2.34
43,601106.SH,中国一重,6,20150423,11.0,11.62,10.81,11.62,10.56,1.06,10.04,7907714,9070044.522,工程机械,-1.69,12.0,40.580000000000005,3.27
44,002721.SZ,金一文化,4,20150428,58.99,59.88,58.99,59.88,54.44,5.44,9.99,21814,129918.8954,服饰,-12.38,61.14,28.200000000000003,2.1
51,002427.SZ,ST尤夫,6,20150528,25.78,25.78,25.1,25.78,23.44,2.34,9.98,85550,219870.59399999998,化纤,4.85,26.78,33.050000000000004,3.88
52,002427.SZ,ST尤夫,7,20150529,26.78,28.36,23.2,28.36,25.78,2.58,10.01,309473,813153.9379,化纤,6.51,29.5,39.56,4.02
53,002427.SZ,ST尤夫,8,20150601,29.5,31.2,28.36,31.2,28.36,2.84,10.01,225598,683180.3017,化纤,-10.88,33.0,28.68,5.77
56,300040.SZ,九洲集团,5,20150610,16.37,16.37,16.37,16.37,14.88,1.49,10.01,29241,47867.9263,电气设备,10.4,17.2,39.08,5.07
58,300040.SZ,九洲集团,7,20150612,19.81,19.81,19.81,19.81,18.01,1.8,9.99,25948,51403.9191,电气设备,-16.83,19.93,22.25,0.61
59,300205.SZ,天喻信息,2,20150617,38.3,43.35,37.0,43.35,39.41,3.94,10.0,418736,1697334.0605,元器件,-17.32,43.31,4.93,-0.09
64,000020.SZ,深华发A,4,20150629,27.95,29.55,25.25,29.55,26.86,2.69,10.01,222174,633972.6236,元器件,-13.12,29.5,-8.19,-0.17
