,ts_code,name,limit_amount,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,industry,limit_type,pro,buy_rate
490,600766.SH,园城黄金,3,20181016,6.21,6.48,6.21,6.48,5.89,0.59,10.017000000000001,76094,48752.879,黄金,加速板,-1.22,3.09
491,600766.SH,园城黄金,4,20181017,6.68,7.13,6.48,7.13,6.48,0.65,10.0309,430306,297161.925,黄金,分歧板,-6.54,-2.66
494,000622.SZ,恒立实业,3,20181026,4.15,4.15,4.15,4.15,3.77,0.38,10.0796,16175,6712.67,汽车配件,加速板,61.55,3.61
495,000622.SZ,恒立实业,4,20181029,4.3,4.57,4.25,4.57,4.15,0.42,10.1205,516688,231825.17,汽车配件,分歧板,51.55,0.22
498,000622.SZ,恒立实业,6,20181105,5.53,5.53,5.53,5.53,5.03,0.5,9.9404,27776,15360.675,汽车配件,加速板,,
499,000622.SZ,恒立实业,7,20181106,6.08,6.08,6.08,6.08,5.53,0.55,9.9458,161595,98249.76,汽车配件,分歧板,7.03,6.09
504,600128.SH,弘业股份,8,20181113,11.85,11.85,11.85,11.85,10.77,1.08,10.0279,30955,36681.971,商贸代理,加速板,,
505,600604.SH,市北高新,9,20181115,8.33,8.33,8.33,8.33,7.57,0.76,10.0396,142574,118764.509,园区开发,分歧板,,
506,600604.SH,市北高新,10,20181116,9.16,9.16,9.16,9.16,8.33,0.83,9.964,509596,466790.33,园区开发,分歧板,,
507,600604.SH,市北高新,11,20181119,10.08,10.08,10.08,10.08,9.16,0.92,10.0437,154059,155292.34900000002,园区开发,加速板,-0.21,4.46
508,600604.SH,市北高新,12,20181120,10.53,11.09,10.37,11.09,10.08,1.01,10.0198,3445582,3759333.255,园区开发,分歧板,-4.47,-0.36
510,600538.SH,国发股份,3,20181126,5.45,5.56,5.21,5.56,5.05,0.51,10.099,371902,205452.27800000002,医药商业,分歧板,,
513,002288.SZ,超华科技,7,20181204,5.9,6.25,5.68,6.25,5.68,0.57,10.0352,2070239,1260940.33,元器件,分歧板,-8.96,-9.92
514,300210.SZ,森远股份,5,20181206,6.26,6.29,6.01,6.29,5.72,0.57,9.965,496163,309477.875,专用机械,分歧板,-21.83,-4.61
516,300746.SZ,汉嘉设计,2,20181213,18.99,20.15,18.18,20.15,18.32,1.83,9.9891,118198,227683.12300000002,建筑工程,分歧板,13.64,4.07
530,601700.SH,风范股份,7,20190107,5.59,5.59,5.59,5.59,5.08,0.51,10.0394,60720,33942.497,电气设备,加速板,,
531,601700.SH,风范股份,8,20190108,6.15,6.15,6.05,6.15,5.59,0.56,10.0179,598674,368027.969,电气设备,分歧板,6.11,6.5
535,603220.SH,中贝通信,4,20190114,30.83,30.83,26.88,30.83,28.03,2.8,9.9893,560912,1672394.135,通信设备,分歧板,1.09,-9.67
544,000862.SZ,银星能源,5,20190212,4.8,4.8,4.8,4.8,4.36,0.44,10.0917,48571,23314.185,新型电力,加速板,34.19,4.17
545,000862.SZ,银星能源,6,20190213,5.0,5.28,4.95,5.28,4.8,0.48,10.0,1133788,587599.424,新型电力,分歧板,,
546,000862.SZ,银星能源,7,20190214,5.81,5.81,5.81,5.81,5.28,0.53,10.0379,132951,77245.00099999999,新型电力,加速板,6.6,7.92
547,000862.SZ,银星能源,8,20190215,6.27,6.39,6.21,6.39,5.81,0.58,9.9828,579361,367956.56,新型电力,分歧板,,
548,000862.SZ,银星能源,9,20190218,7.02,7.03,6.2,7.03,6.39,0.64,10.0156,2242561,1494861.1609999998,新型电力,分歧板,7.61,-3.7
549,000023.SZ,深天地A,4,20190220,17.93,18.15,16.89,18.15,16.5,1.65,10.0,253330,446951.63,其他建材,分歧板,-9.51,-4.68
551,600776.SH,东方通信,6,20190225,33.7,33.7,33.1,33.7,30.64,3.06,9.9869,205344,691129.3459999999,通信设备,加速板,,
553,601519.SH,大智慧,6,20190228,7.84,7.84,7.39,7.84,7.13,0.71,9.9579,3101366,2410146.239,软件服务,分歧板,45.42,-9.95
554,002750.SZ,龙津药业,7,20190308,14.11,14.11,14.11,14.11,12.83,1.28,9.9766,43797,61798.653,中成药,分歧板,,
555,002750.SZ,龙津药业,8,20190311,15.52,15.52,14.95,15.52,14.11,1.41,9.9929,504473,777870.55,中成药,分歧板,7.38,3.09
561,000159.SZ,国际实业,6,20190321,9.68,9.68,9.68,9.68,8.8,0.88,10.0,45878,44410.252,石油贸易,加速板,,
562,000159.SZ,国际实业,7,20190322,10.64,10.65,10.44,10.65,9.68,0.97,10.0207,982245,1045544.74,石油贸易,分歧板,-8.55,6.01
569,300099.SZ,精准信息,7,20190408,10.75,10.75,10.75,10.75,9.77,0.98,10.0307,141137,151723.038,电器仪表,分歧板,-2.53,6.14
570,300099.SZ,精准信息,8,20190409,11.41,11.83,11.41,11.83,10.75,1.08,10.0465,1455246,1686604.371,电器仪表,分歧板,-10.64,-1.1
575,002783.SZ,凯龙股份,5,20190418,20.93,20.93,20.03,20.93,19.03,1.9,9.9842,507477,1061667.001,化工原料,分歧板,1.84,-1.82
576,300573.SZ,兴齐眼药,6,20190423,48.73,48.73,48.73,48.73,44.3,4.43,10.0,45061,219586.443,化学制药,分歧板,,
579,300573.SZ,兴齐眼药,9,20190426,64.86,64.86,55.1,64.86,58.96,5.9,10.0068,105738,654087.14,化学制药,分歧板,-9.48,-0.02
580,000815.SZ,美利云,4,20190429,12.56,12.56,12.51,12.56,11.42,1.14,9.9825,364557,457870.475,造纸,分歧板,9.74,-4.62
582,300405.SZ,科隆股份,5,20190506,14.99,15.6,14.6,15.6,14.18,1.42,10.0141,215693,331812.518,化工原料,分歧板,,
584,300405.SZ,科隆股份,7,20190508,18.03,18.88,17.03,18.88,17.16,1.72,10.0233,370289,684210.819,化工原料,分歧板,2.16,-3.81
585,600127.SH,金健米业,5,20190509,5.29,5.29,5.21,5.29,4.81,0.48,9.9792,1429324,756012.1579999999,农业综合,分歧板,-2.76,0.0
586,002077.SZ,*ST大港,4,20190510,7.52,7.52,7.38,7.52,6.84,0.68,9.9415,407636,306331.392,区域地产,分歧板,,
587,002077.SZ,*ST大港,5,20190513,8.27,8.27,8.27,8.27,7.52,0.75,9.9734,69958,57855.265999999996,区域地产,加速板,,
588,002077.SZ,*ST大港,6,20190514,9.1,9.1,8.55,9.1,8.27,0.83,10.0363,1414539,1269436.514,区域地产,分歧板,6.3,0.0
595,600734.SH,*ST实达,6,20190523,13.11,13.11,13.11,13.11,11.92,1.19,9.9832,379952,498117.963,IT设备,分歧板,-15.01,-0.92
596,300748.SZ,金力永磁,6,20190530,54.27,54.27,51.01,54.27,49.34,4.93,9.9919,188457,1007225.2690000001,元器件,分歧板,9.72,4.81
601,300615.SZ,欣天科技,4,20190606,28.26,28.26,26.28,28.26,25.69,2.57,10.0039,275794,771718.0340000001,元器件,分歧板,,
602,300615.SZ,欣天科技,5,20190610,31.08,31.09,31.08,31.09,28.26,2.83,10.0142,58265,181124.342,元器件,加速板,11.54,7.72
605,300127.SZ,银河磁体,6,20190613,25.8,26.38,25.5,26.38,23.98,2.4,10.0083,537885,1407551.274,元器件,分歧板,-18.85,1.97
607,603258.SH,电魂网络,5,20190619,29.59,29.59,29.59,29.59,26.9,2.69,10.0,12905,38185.895,互联网,加速板,10.9,4.77
608,603258.SH,电魂网络,6,20190620,31.0,32.55,29.18,32.55,29.59,2.96,10.0034,251005,780710.902,互联网,分歧板,-1.41,4.45
610,601038.SH,一拖股份,7,20190625,11.6,11.87,11.55,11.87,10.79,1.08,10.0093,488442,574564.81,农用机械,分歧板,-18.88,-1.68
611,300023.SZ,宝德股份,6,20190626,10.45,10.45,10.07,10.45,9.5,0.95,10.0,288613,301253.969,专用机械,分歧板,-25.25,0.38
612,300371.SZ,汇中股份,4,20190627,16.5,16.53,16.28,16.53,15.03,1.5,9.98,120460,199032.142,电器仪表,分歧板,-11.12,-3.15
614,603738.SH,泰晶科技,5,20190701,28.45,28.45,28.45,28.45,25.86,2.59,10.0155,9094,25874.678,元器件,加速板,,
617,002645.SZ,华宏科技,4,20190705,9.71,9.71,9.71,9.71,8.83,0.88,9.966000000000001,3835,3723.8140000000003,专用机械,加速板,,
618,002645.SZ,华宏科技,5,20190708,10.68,10.68,9.81,10.68,9.71,0.97,9.9897,485662,513628.153,专用机械,分歧板,-4.7,-2.81
619,300554.SZ,三超新材,3,20190710,22.61,22.61,22.41,22.61,20.55,2.06,10.0243,130959,296085.659,矿物制品,分歧板,5.64,0.84
621,600078.SH,澄星股份,4,20190715,6.09,6.24,5.88,6.24,5.67,0.57,10.0529,977183,597928.926,化工原料,分歧板,7.39,5.77
